,artist_name,artist_id,followers,popularity,genres
0,Cardi B,4kYSro6naA4h99UJvo89HB,12760247,93,"['pop', 'pop rap', 'rap']"
1,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,2132988,91,"['houston rap', 'pop', 'pop rap', 'trap queen']"
2,Drake,3TVXtAsR1Inumwj472S9r4,49914602,100,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
3,Lil Durk,3hcs9uc56yIGFCSy9leWe7,1828571,87,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']"
4,Topic,0u6GtibW46tFX7koQ6uNJZ,102305,84,"['edm', 'german dance', 'pop edm', 'tropical house']"
5,A7S,5Wg2b4Mp42gicxEeDNawf7,10148,83,['scandipop']
6,Harry Styles,6KImCVD70vtIoJWnq6nGn3,9684213,92,"['pop', 'post-teen pop']"
7,DaBaby,4r63FhuTkUYltbVAg5TQnk,4517148,95,"['north carolina hip hop', 'rap']"
8,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,4384172,92,"['melodic rap', 'rap', 'trap']"
9,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,12566964,99,"['chicago rap', 'melodic rap']"
10,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,24708251,96,"['canadian contemporary r&b', 'canadian pop', 'pop']"
11,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,45067,85,['nz pop']
12,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,8264500,91,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
13,Joel Corry,6DgP9otnZw5z6daOntINxp,92515,84,"['dance pop', 'house', 'pop', 'tropical house', 'uk dance']"
14,MNEK,7uMh23xWiuR7zsNkuNcm2G,223027,83,"['tropical house', 'uk contemporary r&b']"
15,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,22853449,97,"['latin', 'reggaeton', 'reggaeton colombiano']"
16,Tainy,0GM7qgcRCORpGnfcN2tCiB,161669,87,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'tropical']"
17,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,19844496,93,"['dance pop', 'pop', 'uk pop']"
18,Bad Bunny,4q3ewBCX7sLwd24euuV69X,25220945,97,"['latin', 'reggaeton', 'trap latino']"
19,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,12747373,88,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
20,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,12333226,92,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
21,Young Thug,50co4Is1HCEo8bhOyUWKpn,5569371,93,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']"
22,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,33404686,93,"['electropop', 'pop']"
23,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,510829,85,"['melodic rap', 'pop rap', 'rap']"
24,Imanbek,5rGrDvrLOV2VV8SCFVGWlj,50240,84,['electro house']
25,Maroon 5,04gDigrS5kc9YWfZHwBETP,27136179,90,"['pop', 'pop rock']"
26,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,2835770,83,['contemporary country']
27,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,924048,86,"['melodic rap', 'rap', 'trap']"
28,Khalid,6LuN9FCkKOj5PcnpouEgny,12609775,93,"['alternative r&b', 'pop']"
29,Marshmello,64KEffDW9EtZ1y2vBYgq8T,27025337,91,"['brostep', 'pop', 'progressive electro house']"
30,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,2570677,91,"['ohio hip hop', 'pop rap', 'rap']"
31,blackbear,2cFrymmkijnjDg9SS92EPM,3557484,89,"['pop', 'pop rap']"
32,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,434114,84,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
33,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,3248326,89,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
34,Lil Wayne,55Aa2cqylxrFIXC767Z865,9598889,92,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
35,Halsey,26VFTg2z8YR0cCuwLzESi2,12291603,91,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']"
36,Sam Smith,2wY79sveU1sp5g7SokKOiI,13960863,90,"['pop', 'post-teen pop', 'uk pop']"
37,Burna Boy,3wcj11K77LjEY1PkEazffa,628112,82,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
